meter_origin,Sum of Total Usage kWh,NAME
534 W Louther St ,21775,Treehouse
538 W Louther St ,4578,538 W. Louther St.
"551 W Louther St, College ",512614,Goodyear Arts Studio
554 W Louther St ,8520,554 W. Louther St.
556 W Louther St ,4986,556 W. Louther St.
57 S College St ,12221,57 S. College
"551 W Louther St, College ",45931,Goodyear
60 Mooreland Ave ,40566,Matthews House
600 W Louther *Unit R ,33629,DCCC
600 W Louther St Rr ,6157,DCCC
99 Mooreland Ave ,77578,Allison Church
Belvedere St (Biddle Field) ,298475,Biddle Press Box
Belvedere St (Biddle Field) ,,Biddle Public Restrooms
Belvedere St (Biddle Field) ,,Durden ATC
"Belvedere St, * ",88262,Pump system (athletics)
Green Vly Rd Sanctuary Landisburg PA 17040,15023,Green Valley Sanctuary
Green Vly Rd Sant Light Landisburg PA 17040,6551,Green Valley Sanctuary
"High St And Mooreland Ave, Morgan Bldg ",247869,Morgan Hall
Orange And PA R R ,277590,5 N. Orange St. - CPYB/SHARE
S College St ,223957,Adams
Solar Farm,-4274285,Solar Farm
W High St (37 Big Buildings) ,,Keck Archeology Lab
W High St (37 Big Buildings) ,,Tome
W High St (37 Big Buildings) ,,Rand House
W High St (37 Big Buildings) ,,"Quarry, The "
W High St (37 Big Buildings) ,,170 W. Louther St.
W High St (37 Big Buildings) ,,171 W. High St.
W High St (37 Big Buildings) ,,233 W. Louther St.
W High St (37 Big Buildings) ,,169 W. High St.
W High St (37 Big Buildings) ,,Althouse
W High St (37 Big Buildings) ,,Biddle House
W High St (37 Big Buildings) ,,Bosler
W High St (37 Big Buildings) ,,Clarke Center
W High St (37 Big Buildings) ,,Cook House
W High St (37 Big Buildings) ,,Denny Hall
W High St (37 Big Buildings) ,,East College
W High St (37 Big Buildings) ,,Montgomery House
W High St (37 Big Buildings) ,,Rector Science Center
W High St (37 Big Buildings) ,,Stern Center
W High St (37 Big Buildings) ,,Waidner Spahr Library
W High St (37 Big Buildings) ,,Kaufman Hall
W High St (37 Big Buildings) ,,Old West
W High St (37 Big Buildings) ,,ATS
W High St (37 Big Buildings) ,,Hartman House
W High St (37 Big Buildings) ,,Holland Union Bldg.
W High St (37 Big Buildings) ,,Kline Life Sport Complex
W High St (37 Big Buildings) ,,Armstrong / Quad 8
W High St (37 Big Buildings) ,,Atwater / Quad 7
W High St (37 Big Buildings) ,,Baird McClintock / Quad 4-5
W High St (37 Big Buildings) ,,Buchanan / Quad 2
W High St (37 Big Buildings) ,,Conway / Quad 1
W High St (37 Big Buildings) ,,Davidson Wilson / Quad 9-10
W High St (37 Big Buildings) ,,Kisner - Woodward
W High St (37 Big Buildings) ,,Longsdorff / Quad 6
W High St (37 Big Buildings) ,,McKenney Hall
W High St (37 Big Buildings) ,,Spradley-Young  / Quad 3
W High St (37 Big Buildings) ,,Stuart Hall
W High St (37 Big Buildings) ,,Townhouse - 373 W. Louther St.
W High St (37 Big Buildings) ,,Townhouse - 377 W. Louther St.
W High St (37 Big Buildings) ,,Townhouse - 379 W. Louther St.
W High St (37 Big Buildings) ,,Townhouse - 381 W. Louther St.
W High St (37 Big Buildings) ,,Townhouse - 383 W. Louther St.
Weiss Arts Complex,973320,Weiss Center 
Weiss Arts Complex,,South College Annex
Weiss Arts Complex,,South College East
Weiss Arts Complex,,South College West
Weiss Arts Complex,,Waidner Admissions
Weiss Arts Complex,,Asbell
Weiss Arts Complex,,Historic President's House
Weiss Arts Complex,,Todd House
Weiss Arts Complex,,Reed House
Wilson St Rr ,1,Scoreboard
Witwer Hall ,88635,Witwer Hall
W High St (37 Big Buildings) ,,Main Meter
Weiss Arts Complex,,Weis Meter
