banner_code,NAME,TYPE,type_new,occupant,address,date_constr,date_acqd,date_reno,sqft,rental,main_meter,weis_meter
1675,Boiling Springs Farm,Other,Other,Barn and Outbuildings and Hoover rental,"575 Park Dr., Boiling Springs",,1967,,14500,0,0,0
1230,Hartman House,Auxiliary,Other,Guest Housing,243 W. Louther St.,,1983,,2460,0,1,0
1305,Kade House ,Auxiliary,Other,Guest Housing,31 S. West St.,,1997,,1800,0,0,0
1310,King House,Fac/Staff Residence,Other,Assitant coaches,103 Conway St. ,1967,2000,,2745,0,0,0
1170,Kline Life Sport Complex,Athletic Bldg.,Other,Locker Rooms/Fitness Center/Pool/Basketball Court/Indoor track,575 W. High St.,1980,,,124551,0,1,0
1260,Wentzel,Athletic Bldg.,Other,Locker Rooms/Indoor Baseball/DCCC during summer + library storage,1250 Ritner Hwy,1993,2002,2020,25000,0,0,0
1315,Adams,Residence Hall,Res Hall - L,Students,90 S. College St.,1962,,,47750,0,0,0
1320,Armstrong / Quad 8,Residence Hall,Res Hall - L,Students,55 Cherry St.,1964,,,10724,0,1,0
1325,Atwater / Quad 7,Residence Hall,Res Hall - L,Students,415 Dickinson Ave.,1964,,,10724,0,1,0
1330/1400,Baird McClintock / Quad 4-5,Residence Hall,Res Hall - L,Students,412-414 Dickinson Ave.,1964,,2000,26000,0,1,0
1335,Buchanan / Quad 2,Residence Hall,Res Hall - L,Students,407 W. High St.,1964,,1995,10724,0,1,0
1345,Conway / Quad 1,Residence Hall,Res Hall - L,Students,23 Cherry St.,1964,,1995,10724,0,1,0
1355/1480,Davidson Wilson / Quad 9-10,Residence Hall,Res Hall - L,Students,413 Dickinson Ave. / 434 W. Louther,1964,,2005,31000,0,1,0
1360,Drayer Hall,Residence Hall,Res Hall - L,Students,60 S. College St.,1952,,,48720,0,0,0
1370,Goodyear,Residence Hall,Res Hall - L,Students,551-595 W. Louther St.,1891,1979,2000,60000,0,0,0
1317,High Street Residence Hall,Residence Hall,Res Hall - L,Students,450 W. High St.,2018,,,41945,0,0,0
1380,Kisner - Woodward,Residence Hall,Res Hall - L,Students,411 Dickinson Ave.,1969,,,23000,0,1,0
1385,Longsdorff / Quad 6,Residence Hall,Res Hall - L,Students,33 Cherry St.,1964,,2001,10724,0,1,0
1390,Malcolm Hall ,Residence Hall,Res Hall - L,Students,402 W. High St.,1966,,,20434,0,0,0
1395,Matthews House,Residence Hall,Res Hall - L,Students,60 Moorland Ave.,1926,1957,,11548,0,0,0
1405,McKenney Hall,Residence Hall,Res Hall - L,Students,410 Dickinson Ave.,1973,,,18933,0,1,0
1410,Morgan Hall,Residence Hall,Res Hall - L,Students,360 W. High St.,1955,,2003,40000,0,0,0
1350,Spradley-Young  / Quad 3,Residence Hall,Res Hall - L,Students,405 W. High St.,1964,,2000,10724,0,1,0
1440,Stuart Hall,Residence Hall,Res Hall - L,Students,49 N. West St.,1931,1964,,11520,0,1,0
1445,Todd House,Residence Hall,Res Hall - L,Students,41 S. College St.,,1964,2003,11340,0,0,1
1485,Witwer Hall,Residence Hall,Res Hall - L,Students,90 S. College St.,1965,,,18603,0,0,0
1720,133 N. College St.,Residence Hall,Res Hall - M,Students,133 N. College St.,1890,2004,2019,2272,0,0,0
1815,155 W. High St.,Residence Hall,Res Hall - M,Students,155 W. High St. ,,2006,,4000,0,0,0
,159 W. High St.,Residence Hall,Res Hall - M,Students,159 W. High St.,,1986,,4500,0,0,0
1430,163 W. High St,Residence Hall,Res Hall - M,Students,163 W. High St.,,1998,,4550,0,0,0
1431,165 W. High St,Residence Hall,Res Hall - M,Students,165 W. High St.,,1998,,4550,0,0,0
1510,170 W. Louther St.,Residence Hall,Res Hall - M,Students,170 W. Louther St.,,1900,2019,2926,0,1,0
1433,171 W. High St.,Residence Hall,Res Hall - M,Students,171 W. High St.,,1998,,3000,0,1,0
1055,233 W. Louther St.,Residence Hall,Res Hall - M,Students,233 W. Louther St.,,1986,2022,3675,0,1,0
1415,Reed House,Residence Hall,Res Hall - M,Students,32 S. West St.,,1954,1958,9562,0,0,1
