NAME,meter_origin,kwh_tot,kwh_count
Factory Apts.,236 W North St *Apt 9 ,12518,365
Goodyear,"551 W Louther St, College ",512614,365
Goodyear,580 W Louther St ,45931,365
High Street Residence Hall,"450 W High St, Residence Hall ",234938,365
Kade House ,31 S West St ,10487,365
King House,103 Conway St ,64445,365
Landis House,101 S College St ,14429,365
Malcolm Hall ,402 W High St Malcolm Hall ,158463,365
Matthews House,60 Mooreland Ave ,40566,365
Morgan Hall,"High St And Mooreland Ave, Morgan Bldg ",247869,365
Solar Farm,Solar Farm,-4274285,365
Main Meter,W High St (37 Big Buildings) ,11648808,365
President's House (New),127 Conway St ,30585,365
,129 S College St Rr ,1952,365
,"156 W Louther St, 1fl ",16662,290
,278 W Louther St ,6686,365
Reed Apts.,506 Reed St ,31914,365
Schuman House,34 S West St ,10946,365
Strayer House,131 S College St ,18275,365
Treehouse,534 W Louther St ,21775,365
Vincett House ,275 W Louther St ,14797,365
Weiss Center ,Weiss Arts Complex,973320,365
Wentzel,1250 Ritner Hwy ,22830,365
Witwer Hall,Witwer Hall ,88635,365
DCCC,600 W Louther *Unit R ,33629,365
DCCC,600 W Louther St Rr ,6157,365
Biddle Press Box + Restrooms,Belvedere St (Biddle Field) ,298475,365
Durden ATC,"Belvedere St, * ",88262,365
Green Valley Sanctuary,Green Vly Rd Sanctuary Landisburg PA 17040,15023,365
Green Valley Sanctuary,Green Vly Rd Sant Light Landisburg PA 17040,6551,365
5 N. Orange St.,Orange And PA R R ,277590,365
,S College St ,223957,365
