type,banner_code,NAME,occupant,address,date_constr,date_acqd,date_reno,sqft,main_meter,rental
Res Hall - L,1335,Buchanan / Quad 2,Students,407 W. High St.,1964,1995,1995,10724,1,0
Academic,1665,Carlisle Theatre,Cubiculo,44 W. High St.,,1997,1997,4000,0,1
Res Hall - S,1340,Carriage House,Students,129 W. Chapel Ave.,1930,,,725,0,0
Res Hall - M,1226,Cherry Apts,Students,128-140 Cherry St.,,,,3519,0,1
Academic,1015,Clarke Center ,Clark Center/CCLA,249-255 W. Louther St.,,1987,,6638,1,0
Res Hall - L,1345,Conway / Quad 1,Students,23 Cherry St.,1964,1995,1995,10724,1,0
Academic,1095,Cook House ,Center for the Future of Native Peoples,239 W. Louther St.,,1986,,3138,1,0
Res Hall - L,1355/1480,Davidson Wilson / Quad 9-10,Students,413 Dickinson Ave. / 434 W. Louther,1964,2005,2005,31000,1,0
Community,1100/1105,DCCC,Daycare,600 Garland Ave.,,1984,2009,10892,0,0
Academic,1025,Denny Hall ,Social Sciences,199 W. High St.,1905,,1984,36512,1,0
Res Hall - L,1360,Drayer Hall,Students,60 S. College St.,1952,,,48720,0,0
Other,1161,Durden ATC,Locker Rooms/Training Center/Meeting Sapce,Belvedere St.,2014,,,22700,0,0
Academic,1030,East College ,Humanities,50 N. West St. ,1836,,2019,28050,1,0
Res Hall - L,1365,Factory Apts.,Students,230-236 W. North St.,,,,13000,0,1
Res Hall - L,1370,Goodyear ,Students,551-595 W. Louther St.,1891,1979,2000,60000,0,0
Academic,1040,Goodyear Arts Studio,Fine Arts ,559 W. Louther St.,1891,1979,2000,30000,0,0
Academic,1810,Green Valley Sanctuary,Research Facility,,,1966,,2500,0,0
Other,1230,Hartman House,Guest Housing,243 W. Louther St.,,1983,,2460,1,0
Res Hall - L,1317,High Street Residence Hall,Students,450 W. High St.,2018,,,41945,0,0
Other,1245,Historic President's House,Alumni Relations/Guest Housing,212 W. High St.,1833,1890,2023,11256,0,0
Other,1240,Holland Union Bldg. ,"Student Life, Dining Services, Student Activities & Services",28 N. College St.,1966,,,118356,1,0
Other,1305,Kade House ,Guest Housing,31 S. West St.,,1997,,1800,0,0
Admin,1685,Kaufman Hall,"Public Safety, Facilities management, ENST, PSYCH, GEOS, CSE, ALLARM",400 W. North / 145 Cherry,,2004,2007,78015,1,0
Academic,1432,Keck Archeology Lab,Archeology,169 W. High St.,,1998,,1511,0,0
Other,1310,King House,Assitant coaches,103 Conway St. ,1967,2000,,2745,0,0
Res Hall - L,1380,Kisner - Woodward ,Students,411 Dickinson Ave.,1969,,,23000,1,0
Community,1235,Kline Center Annex,Health and Counseling Centers,42 Cherry St.,1998,,,9300,0,0
Other,1170,Kline Life Sport Complex ,Locker Rooms/Fitness Center/Pool/Basketball Court/Indoor track,575 W. High St.,1980,,,124551,1,0
Community,1050,Landis House ,"Women's Center, Diversity Initiatives, Conflict Resolutions",101 S. College St.,1905,1968,,7953,0,0
Res Hall - L,1385,Longsdorff / Quad 6,Students,33 Cherry St.,1964,2001,2001,10724,1,0
Res Hall - L,1390,Malcolm Hall ,Students,402 W. High St.,1966,,,20434,0,0
Res Hall - L,1395,Matthews House,Students,60 Moorland Ave.,1926,1957,,11548,0,0
Res Hall - L,1405,McKenney Hall ,Students,410 Dickinson Ave.,1973,,,18933,1,0
Academic,1060,Montgomery House,Theatre and Dance,324 W. Louther St. ,1837,1950,2002,11039,1,0
Res Hall - L,1410,Morgan Hall,Students,360 W. High St.,1955,2003,,40000,0,0
Admin,1120,Old West,"President's Office, Finance & Administration, Provost, Legal, Disability Services",230 W. Louther St.,1803,,,30208,1,0
Community,1277,President's House (New),Private residence,127 Conway St,,2016,,6274,0,0
Community,1250,"Quarry, The ",Outside Use/Student Social Space,51 N. College St.,1899,1931,2000,6887,0,0
Admin,1130,Rand House,Human Resources,55 N. West St.,1900,1985,,2540,0,0
Academic,1045,Rector Science Center,"Biology, Psychology, Chemistry, Neuroscience, Biochemistry, Molecular biology",301 W. Louther St.,2007,,,112800,1,0
Res Hall - M,1840,Reed Apts.,Students,502-512 Reed St.,,,,5206,0,1
Res Hall - M,1415,Reed House ,Students,32 S. West St.,,1954,1958,9562,0,0
Res Hall - M,1425,Schuman House ,Students,34 S. West St.,,1982,,4444,0,0
Admin,1140,South College Annex ,IT Storage,218 W. Church Ave.,1949,1957,,1800,0,0
Admin,1145,South College East,IT,220 W. Church Ave.,1948,,,10566,0,0
Admin,1150,South College West,Financial Aid/Cashier's office,222 W. Church Ave.,1948,,,21166,0,0
Res Hall - L,1350,Spradley-Young  / Quad 3,Students,405 W. High St.,1964,2000,2000,10724,1,0
Academic,1065,Stern Center ,Global Education,208 W. Louther St.,1885,2001,2001,22000,1,0
Res Hall - M,1435,Strayer House ,Students,131 S. College St.,1930,,,6845,0,0
Res Hall - L,1440,Stuart Hall,Students,49 N. West St.,1931,1964,,11520,1,0
Res Hall - L,1445,Todd House ,Students,41 S. College St.,,1964,2003,11340,0,0
Academic,1070,Tome ,"Physics, Astronomy, Math, Computer Science",343 W. Louther St.,2000,,,52000,0,0
Res Hall - M,1450,Townhouse - 373 W. Louther St.,Students,373 W. Louther St.,1985,,2019,2016,1,0
Res Hall - M,1455,Townhouse - 377 W. Louther St.,Students,377 W. Louther St.,1985,,2019,2016,1,0
Res Hall - M,1460,Townhouse - 379 W. Louther St.,Students,379 W. Louther St.,1985,,2019,2016,1,0
Res Hall - M,1465,Townhouse - 381 W. Louther St.,Students,381 W. Louther St.,1985,,2019,2016,1,0
Res Hall - M,1470,Townhouse - 383 W. Louther St.,Students,383 W. Louther St.,1985,,2019,2016,1,0
Res Hall - M,1745,Treehouse ,Students,532 W. Louther St.,,2006,2006,6000,0,0
Res Hall - M,1255,Vincett House ,Students,275 W. Louther St.,,2002,,2700,1,0
Admin,1155,Waidner Admissions ,Admissions,272 W. High St.,1912,1964,2010,14040,0,0
Academic,1075,Waidner Spahr Library,LIS,333 W. High St. ,1967,,1998,120000,1,0
Academic,1080,Weiss Center ,"Fine Arts, Music",240 W. High St.,1929,1983,1983,52008,0,0
Other,1260,Wentzel ,"Locker Rooms/Indoor Baseball/DCCC during summer, library storage",1250 Ritner Hwy,1993,2002,2020,25000,0,0
Res Hall - L,1485,Witwer Hall,Students,90 S. College St.,,,,18603,0,0
Solar Farm,,Solar Farm,,,,,,,,
Main Meter,,Main Meter,,,,,,,,
